Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,311,0.08638888888888889,B1,7007,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B2,6828,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B3,7161,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B4,7110,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B5,6965,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B6,7167,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B7,7109,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B8,6539,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B9,6996,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B10,6963,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B11,6638,AFU,487,528,JS006,1,0,0,1,1,190,570,10,2,sybr50487528
sybr,50,311,0.08638888888888889,B12,6303,AFU,487,528,JS006,1,0,0,2,1,190,570,10,2,sybr50487528
sybr,50,311,0.08638888888888889,C1,6938,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,311,0.08638888888888889,C2,6663,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,311,0.08638888888888889,C3,6860,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,311,0.08638888888888889,C4,7056,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,3,sybr50487528
