Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,rep,ChanStr
sybr,50,611,0.16972222222222222,A10,6333,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,611,0.16972222222222222,A11,6089,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,611,0.16972222222222222,A12,5666,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,611,0.16972222222222222,B8,6610,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,611,0.16972222222222222,B9,6570,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,611,0.16972222222222222,B10,6463,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,611,0.16972222222222222,B11,6234,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,611,0.16972222222222222,B12,5766,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,611,0.16972222222222222,C8,6590,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,611,0.16972222222222222,C9,6512,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,611,0.16972222222222222,C10,6436,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,611,0.16972222222222222,C11,6217,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,611,0.16972222222222222,C12,5712,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,671,0.18638888888888888,A8,6502,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,671,0.18638888888888888,A9,6428,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,671,0.18638888888888888,A10,6278,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,671,0.18638888888888888,A11,6043,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,671,0.18638888888888888,A12,5600,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,671,0.18638888888888888,B8,6580,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,671,0.18638888888888888,B9,6516,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,671,0.18638888888888888,B10,6396,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,671,0.18638888888888888,B11,6207,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,671,0.18638888888888888,B12,5704,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,671,0.18638888888888888,C8,6557,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,671,0.18638888888888888,C9,6453,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,671,0.18638888888888888,C10,6392,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,671,0.18638888888888888,C11,6159,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,671,0.18638888888888888,C12,5640,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,731,0.20305555555555554,A8,6480,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,731,0.20305555555555554,A9,6375,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,731,0.20305555555555554,A10,6254,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,731,0.20305555555555554,A11,6014,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,731,0.20305555555555554,A12,5530,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,731,0.20305555555555554,B8,6548,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,731,0.20305555555555554,B9,6482,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,731,0.20305555555555554,B10,6352,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,731,0.20305555555555554,B11,6123,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,731,0.20305555555555554,B12,5649,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,731,0.20305555555555554,C8,6553,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,731,0.20305555555555554,C9,6444,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,731,0.20305555555555554,C10,6333,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,731,0.20305555555555554,C11,6100,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,731,0.20305555555555554,C12,5585,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,791,0.21972222222222224,A8,6433,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,791,0.21972222222222224,A9,6346,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,791,0.21972222222222224,A10,6217,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,791,0.21972222222222224,A11,5948,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,791,0.21972222222222224,A12,5464,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,791,0.21972222222222224,B8,6500,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,791,0.21972222222222224,B9,6462,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,791,0.21972222222222224,B10,6316,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,791,0.21972222222222224,B11,6074,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,791,0.21972222222222224,B12,5598,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,791,0.21972222222222224,C8,6531,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,791,0.21972222222222224,C9,6411,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,791,0.21972222222222224,C10,6291,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,791,0.21972222222222224,C11,6043,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,791,0.21972222222222224,C12,5530,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,851,0.2363888888888889,A8,6415,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,851,0.2363888888888889,A9,6305,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,851,0.2363888888888889,A10,6188,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,851,0.2363888888888889,A11,5885,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,851,0.2363888888888889,A12,5419,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,851,0.2363888888888889,B8,6476,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,851,0.2363888888888889,B9,6405,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,851,0.2363888888888889,B10,6290,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,851,0.2363888888888889,B11,6006,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,851,0.2363888888888889,B12,5531,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,851,0.2363888888888889,C8,6516,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,851,0.2363888888888889,C9,6375,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,851,0.2363888888888889,C10,6260,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,851,0.2363888888888889,C11,5979,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,851,0.2363888888888889,C12,5461,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,911,0.25305555555555553,A8,6377,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,911,0.25305555555555553,A9,6278,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,911,0.25305555555555553,A10,6127,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,911,0.25305555555555553,A11,5838,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,911,0.25305555555555553,A12,5364,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,911,0.25305555555555553,B8,6416,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,911,0.25305555555555553,B9,6369,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,911,0.25305555555555553,B10,6231,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,911,0.25305555555555553,B11,5946,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,911,0.25305555555555553,B12,5473,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,911,0.25305555555555553,C8,6479,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,911,0.25305555555555553,C9,6342,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,911,0.25305555555555553,C10,6209,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,911,0.25305555555555553,C11,5926,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,911,0.25305555555555553,C12,5411,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,971,0.2697222222222222,A8,6358,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,971,0.2697222222222222,A9,6251,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,971,0.2697222222222222,A10,6089,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,971,0.2697222222222222,A11,5766,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,971,0.2697222222222222,A12,5312,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,971,0.2697222222222222,B8,6399,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,971,0.2697222222222222,B9,6335,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,971,0.2697222222222222,B10,6187,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,971,0.2697222222222222,B11,5907,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,971,0.2697222222222222,B12,5429,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
