Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,131,0.03638888888888889,C7,7021,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C8,6234,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,3,sybr50487528
sybr,50,131,0.03638888888888889,C9,6154,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,3,sybr50487528
sybr,50,131,0.03638888888888889,C10,6937,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C11,6176,AFU,487,528,JS006,1,0,0,0,1,190,570,50,3,sybr50487528
sybr,50,131,0.03638888888888889,C12,5817,AFU,487,528,JS006,1,0,0,0,1,190,570,250,3,sybr50487528
sybr,50,191,0.05305555555555556,A1,6989,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A2,6076,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,1,sybr50487528
sybr,50,191,0.05305555555555556,A3,5995,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,1,sybr50487528
sybr,50,191,0.05305555555555556,A4,6707,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A5,6045,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,1,sybr50487528
sybr,50,191,0.05305555555555556,A6,6218,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,1,sybr50487528
sybr,50,191,0.05305555555555556,A7,7054,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A8,6299,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,1,sybr50487528
sybr,50,191,0.05305555555555556,A9,6202,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,1,sybr50487528
sybr,50,191,0.05305555555555556,A10,6934,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,191,0.05305555555555556,A11,6111,AFU,487,528,JS006,1,0,0,0,1,190,570,50,1,sybr50487528
sybr,50,191,0.05305555555555556,A12,5975,AFU,487,528,JS006,1,0,0,0,1,190,570,250,1,sybr50487528
