Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,kan,carb,spent_media,percent,rep,ChanStr
sfGFP,61,1718,0.4772222222222222,H2,71,AFU,485,515,JS006 HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H3,75,AFU,485,515,JS006 HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H4,70,AFU,485,515,JS006 HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H5,70,AFU,485,515,JS006 HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H6,60,AFU,485,515,JS006 HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A1,190,AFU,485,515,naive HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A2,172,AFU,485,515,naive HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A3,171,AFU,485,515,naive HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A4,170,AFU,485,515,naive HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A5,163,AFU,485,515,naive HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A6,171,AFU,485,515,naive HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B1,168,AFU,485,515,naive HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B2,169,AFU,485,515,naive HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B3,173,AFU,485,515,naive HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B4,161,AFU,485,515,naive HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B5,160,AFU,485,515,naive HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B6,154,AFU,485,515,naive HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,C1,166,AFU,485,515,naive HCA,+,+,kan,1,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,C2,167,AFU,485,515,naive HCA,+,+,kan,1,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,C3,161,AFU,485,515,naive HCA,+,+,kan,1,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,C4,170,AFU,485,515,naive HCK,+,+,carb,1,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,C5,158,AFU,485,515,naive HCK,+,+,carb,1,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,C6,157,AFU,485,515,naive HCK,+,+,carb,1,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,D1,175,AFU,485,515,naive HCA,+,+,kan,2,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,D2,166,AFU,485,515,naive HCA,+,+,kan,2,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,D3,162,AFU,485,515,naive HCA,+,+,kan,2,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,D4,171,AFU,485,515,naive HCK,+,+,carb,2,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,D5,160,AFU,485,515,naive HCK,+,+,carb,2,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,D6,164,AFU,485,515,naive HCK,+,+,carb,2,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,E1,167,AFU,485,515,naive HCA,+,+,kan,5,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,E2,165,AFU,485,515,naive HCA,+,+,kan,5,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,E3,166,AFU,485,515,naive HCA,+,+,kan,5,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,E4,157,AFU,485,515,naive HCK,+,+,carb,5,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,E5,159,AFU,485,515,naive HCK,+,+,carb,5,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,E6,157,AFU,485,515,naive HCK,+,+,carb,5,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,F1,178,AFU,485,515,naive HCA,+,+,kan,10,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,F2,173,AFU,485,515,naive HCA,+,+,kan,10,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,F3,174,AFU,485,515,naive HCA,+,+,kan,10,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,F4,156,AFU,485,515,naive HCK,+,+,carb,10,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,F5,159,AFU,485,515,naive HCK,+,+,carb,10,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,F6,161,AFU,485,515,naive HCK,+,+,carb,10,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,G1,190,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,G2,164,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,G3,171,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,G4,175,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,G5,160,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,G6,164,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,H1,76,AFU,485,515,JS006 HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,H2,75,AFU,485,515,JS006 HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,H3,75,AFU,485,515,JS006 HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,H4,69,AFU,485,515,JS006 HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,H5,65,AFU,485,515,JS006 HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,H6,76,AFU,485,515,JS006 HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,A1,206,AFU,485,515,naive HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,A2,188,AFU,485,515,naive HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,A3,184,AFU,485,515,naive HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,A4,178,AFU,485,515,naive HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,A5,163,AFU,485,515,naive HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,A6,170,AFU,485,515,naive HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,B1,170,AFU,485,515,naive HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,B2,174,AFU,485,515,naive HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,B3,165,AFU,485,515,naive HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,B4,165,AFU,485,515,naive HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,B5,166,AFU,485,515,naive HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,B6,174,AFU,485,515,naive HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,C1,170,AFU,485,515,naive HCA,+,+,kan,1,1,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,C2,170,AFU,485,515,naive HCA,+,+,kan,1,2,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,C3,169,AFU,485,515,naive HCA,+,+,kan,1,3,sfGFP61485515
sfGFP,61,2918,0.8105555555555556,C4,164,AFU,485,515,naive HCK,+,+,carb,1,1,sfGFP61485515
