row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
I,711,624,512,633,707,665,5883,2585,5808,2619,5406,2872,685,589,657,616,622,547,6431,1217,6333,1227,6432,1183,"mScarlet_1_1:565,595"
I,20398,18151,14961,18422,20591,19399,OVRFLW,75079,OVRFLW,75650,OVRFLW,82944,19884,17097,19150,17990,18059,15867,OVRFLW,35559,OVRFLW,35867,OVRFLW,34284,"mScarlet_2_1:565,595"
I,1.503,1.451,1.098,1.451,1.501,1.472,1.409,1.477,1.402,1.505,1.393,1.527,1.494,1.445,1.488,1.48,1.445,1.451,1.516,1.378,1.483,1.437,1.518,1.391,OD700_1:700
I,281,270,241,278,270,279,776,353,780,354,925,370,332,364,339,366,493,370,508,416,550,425,504,431,"sfGFP_2:485,515"
I,679,603,500,607,685,643,5853,2524,5675,2543,5330,2776,667,569,636,594,610,528,6250,1207,6165,1220,6176,1161,"mScarlet_1_2:565,595"
I,19790,17513,14378,17676,19962,18717,OVRFLW,73371,OVRFLW,73712,OVRFLW,80765,19295,16606,18635,17219,17612,15410,OVRFLW,35487,OVRFLW,35638,OVRFLW,34137,"mScarlet_2_2:565,595"
I,1.488,1.444,1.09,1.442,1.496,1.466,1.399,1.476,1.4,1.503,1.387,1.527,1.495,1.441,1.49,1.478,1.45,1.456,1.506,1.378,1.471,1.426,1.51,1.394,OD700_2:700
J,14431,15283,17238,15748,17633,16181,22341,20545,21991,20866,24207,21214,18460,14346,17244,14119,14618,14148,6219,20912,11206,20240,8736,20211,"sfGFP_1:485,515"
J,478,329,293,294,383,305,44,361,45,315,49,313,325,346,368,352,438,449,75,666,70,717,75,744,"mScarlet_1_1:565,595"
J,14031,9469,8575,8589,11051,8790,1325,10663,1260,9130,1453,9169,9558,10034,10783,10178,12615,13006,2178,19338,2066,20695,2198,21631,"mScarlet_2_1:565,595"
J,1.392,1.425,1.042,1.407,1.397,1.439,1.158,1.343,1.148,1.329,1.272,1.339,1.344,1.359,1.359,1.346,1.256,1.412,0.572,1.331,0.696,1.308,0.694,1.298,OD700_1:700
J,14426,15194,17111,15647,17593,15998,22447,20668,22073,20862,24324,21271,18534,14451,17317,14192,14674,14117,6355,20772,11399,20054,8921,20003,"sfGFP_2:485,515"
J,465,318,285,284,370,289,45,358,41,308,49,308,322,336,361,343,428,431,74,655,69,702,74,730,"mScarlet_1_2:565,595"
J,13723,9158,8284,8292,10795,8459,1308,10432,1217,9034,1446,9063,9462,9903,10640,9991,12454,12518,2105,19163,2066,20510,2129,21318,"mScarlet_2_2:565,595"
J,1.381,1.415,1.032,1.414,1.393,1.43,1.147,1.338,1.144,1.32,1.268,1.333,1.342,1.359,1.36,1.346,1.245,1.41,0.571,1.315,0.698,1.292,0.697,1.28,OD700_2:700
K,19245,19963,18663,20238,22059,20703,22396,21460,21522,21475,23951,21342,21405,19587,21377,20030,19423,19081,437,18414,7941,19526,680,21524,"sfGFP_1:485,515"
K,300,168,190,137,236,151,18,70,13,62,22,59,193,113,210,125,240,131,20,61,8,77,39,92,"mScarlet_1_1:565,595"
K,8639,4825,5602,4025,6994,4333,414,2091,427,1834,582,1771,5593,3404,6080,3552,6921,3738,556,1799,265,2273,1090,2752,"mScarlet_2_1:565,595"
K,1.336,1.407,1.048,1.347,1.385,1.389,1.207,1.228,1.199,1.204,1.297,1.208,1.324,1.25,1.323,1.249,1.182,1.236,0.212,1.047,0.602,1.079,0.311,1.15,OD700_1:700
K,19243,19781,18508,20192,22064,20602,22498,21504,21583,21385,23850,21435,21541,19569,21296,19949,19561,18988,449,18370,8082,19515,721,21431,"sfGFP_2:485,515"
K,293,160,187,134,232,146,10,72,18,62,18,62,186,115,204,119,230,129,21,63,12,75,35,91,"mScarlet_1_2:565,595"
K,8560,4679,5336,3940,6869,4239,401,2066,420,1798,554,1757,5543,3372,5964,3494,6843,3700,597,1772,268,2252,1141,2728,"mScarlet_2_2:565,595"
