well,strain,sal,las,iptg,chlor,cole1,rep
M15,1x diff 2x bxb1,0,0.1,50,+,kan,2
M16,1x diff 2x bxb1,0,0.01,50,+,kan,2
M17,1x diff 2x bxb1,0,0.1,50,+,kan,3
M18,1x diff 2x bxb1,0,0.01,50,+,kan,3
M19,split pir 2x bxb1,0,0.1,50,+,kan,1
M20,split pir 2x bxb1,0,0.01,50,+,kan,1
M21,split pir 2x bxb1,0,0.1,50,+,kan,2
M22,split pir 2x bxb1,0,0.01,50,+,kan,2
M23,split pir 2x bxb1,0,0.1,50,+,kan,3
M24,split pir 2x bxb1,0,0.01,50,+,kan,3
N1,1x diff 2x bxb1,15,0.1,50,+,carb,1
N2,1x diff 2x bxb1,15,0.01,50,+,carb,1
N3,1x diff 2x bxb1,15,0.1,50,+,carb,2
N4,1x diff 2x bxb1,15,0.01,50,+,carb,2
N5,1x diff 2x bxb1,15,0.1,50,+,carb,3
N6,1x diff 2x bxb1,15,0.01,50,+,carb,3
N7,split pir 2x bxb1,15,0.1,50,+,carb,1
N8,split pir 2x bxb1,15,0.01,50,+,carb,1
N9,split pir 2x bxb1,15,0.1,50,+,carb,2
N10,split pir 2x bxb1,15,0.01,50,+,carb,2
N11,split pir 2x bxb1,15,0.1,50,+,carb,3
N12,split pir 2x bxb1,15,0.01,50,+,carb,3
