,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
141,1x diff 2x bxb1,15,0.01,10,+,carb,14,1.4275000000000002,0.014995237339140214
142,1x diff 2x bxb1,15,0.01,10,+,carb,15,1.401875,0.016260710755859203
143,1x diff 2x bxb1,15,0.01,10,+,carb,16,1.4267500000000002,0.01668403856556139
144,1x diff 2x bxb1,15,0.01,10,+,kan,1,1.3344375,0.023344374513543275
145,1x diff 2x bxb1,15,0.01,10,+,kan,2,1.2995,0.009281317640446237
146,1x diff 2x bxb1,15,0.01,10,+,kan,3,1.1374999999999997,0.10321371725004105
147,1x diff 2x bxb1,15,0.01,10,+,kan,4,1.2933750000000002,0.01592336558107525
148,1x diff 2x bxb1,15,0.01,10,+,kan,5,1.292875,0.016023977569344542
149,1x diff 2x bxb1,15,0.01,10,+,kan,6,1.293875,0.02018972510957007
150,1x diff 2x bxb1,15,0.01,10,+,kan,7,1.312125,0.021082745145192656
151,1x diff 2x bxb1,15,0.01,10,+,kan,8,1.3109374999999999,0.018348681346158288
152,1x diff 2x bxb1,15,0.01,10,+,kan,9,1.3796249999999999,0.00881455776380356
153,1x diff 2x bxb1,15,0.01,10,+,kan,10,1.3866875,0.005496346188930555
154,1x diff 2x bxb1,15,0.01,10,+,kan,11,1.3834374999999999,0.014666379190905608
155,1x diff 2x bxb1,15,0.01,10,+,kan,12,1.0609374999999999,0.025808965081371062
156,1x diff 2x bxb1,15,0.01,10,+,kan,13,1.2592500000000002,0.031899395426425066
157,1x diff 2x bxb1,15,0.01,10,+,kan,14,1.3811875000000002,0.021850036776693456
158,1x diff 2x bxb1,15,0.01,10,+,kan,15,1.3785625,0.020805970125354515
159,1x diff 2x bxb1,15,0.01,10,+,kan,16,1.4216875,0.017299747107978197
160,1x diff 2x bxb1,15,0.01,10,-,carb,1,1.3510625,0.011299296754349708
161,1x diff 2x bxb1,15,0.01,10,-,carb,2,1.326,0.019621416870348518
162,1x diff 2x bxb1,15,0.01,10,-,carb,3,1.349875,0.02238103470096316
163,1x diff 2x bxb1,15,0.01,10,-,carb,4,1.3341874999999999,0.027588736702813088
164,1x diff 2x bxb1,15,0.01,10,-,carb,5,1.3459374999999998,0.02018740325054211
165,1x diff 2x bxb1,15,0.01,10,-,carb,6,1.3615,0.028148839103187627
166,1x diff 2x bxb1,15,0.01,10,-,carb,7,1.3490000000000002,0.018992479714726247
167,1x diff 2x bxb1,15,0.01,10,-,carb,8,1.3571250000000001,0.02385933480092969
168,1x diff 2x bxb1,15,0.01,10,-,carb,9,1.439625,0.012135396867958498
169,1x diff 2x bxb1,15,0.01,10,-,carb,10,1.4273749999999998,0.02353985981266667
170,1x diff 2x bxb1,15,0.01,10,-,carb,11,1.4279374999999999,0.014512156234392958
171,1x diff 2x bxb1,15,0.01,10,-,carb,12,1.4229375,0.02052774690162423
172,1x diff 2x bxb1,15,0.01,10,-,carb,13,1.4181875000000002,0.017192061083119554
173,1x diff 2x bxb1,15,0.01,10,-,carb,14,1.4688125,0.011792665698887456
174,1x diff 2x bxb1,15,0.01,10,-,carb,15,1.4493749999999999,0.00848843751396994
175,1x diff 2x bxb1,15,0.01,10,-,carb,16,1.463375,0.010832325960489086
176,1x diff 2x bxb1,15,0.01,10,-,kan,1,1.3279375,0.016512846730435658
177,1x diff 2x bxb1,15,0.01,10,-,kan,2,1.3195000000000001,0.011370387604902188
178,1x diff 2x bxb1,15,0.01,10,-,kan,3,1.17675,0.0372434078538931
179,1x diff 2x bxb1,15,0.01,10,-,kan,4,1.3083125000000002,0.03501115893540235
180,1x diff 2x bxb1,15,0.01,10,-,kan,5,1.3218124999999998,0.01876344755863686
181,1x diff 2x bxb1,15,0.01,10,-,kan,6,1.30975,0.027775888824662292
182,1x diff 2x bxb1,15,0.01,10,-,kan,7,1.32375,0.02835741273711077
183,1x diff 2x bxb1,15,0.01,10,-,kan,8,1.32925,0.015285380503698884
184,1x diff 2x bxb1,15,0.01,10,-,kan,9,1.415,0.010106574946185167
185,1x diff 2x bxb1,15,0.01,10,-,kan,10,1.4003124999999998,0.012640460830207123
186,1x diff 2x bxb1,15,0.01,10,-,kan,11,1.37325,0.020788046015507582
187,1x diff 2x bxb1,15,0.01,10,-,kan,12,1.0873125000000001,0.03403562996541802
188,1x diff 2x bxb1,15,0.01,10,-,kan,13,1.3015625,0.016848987888212933
189,1x diff 2x bxb1,15,0.01,10,-,kan,14,1.3890000000000002,0.007358183005529074
190,1x diff 2x bxb1,15,0.01,10,-,kan,15,1.4005,0.013851250588201174
191,1x diff 2x bxb1,15,0.01,10,-,kan,16,1.4321875,0.014525685378469494
192,1x diff 2x bxb1,15,0.01,50,+,carb,1,1.3104375,0.02179685019839852
193,1x diff 2x bxb1,15,0.01,50,+,carb,2,1.3191875,0.02585389926380262
194,1x diff 2x bxb1,15,0.01,50,+,carb,3,1.3580625,0.019258462889263615
195,1x diff 2x bxb1,15,0.01,50,+,carb,4,1.3385624999999999,0.02768630076409645
196,1x diff 2x bxb1,15,0.01,50,+,carb,5,1.3228749999999998,0.01371065800234051
197,1x diff 2x bxb1,15,0.01,50,+,carb,6,1.3268125,0.022595728894764886
198,1x diff 2x bxb1,15,0.01,50,+,carb,7,1.325125,0.021735011255707138
199,1x diff 2x bxb1,15,0.01,50,+,carb,8,1.3256249999999998,0.01713548948819385
200,1x diff 2x bxb1,15,0.01,50,+,carb,9,1.389125,0.02083566653601457
201,1x diff 2x bxb1,15,0.01,50,+,carb,10,1.4028124999999998,0.019500801265589018
202,1x diff 2x bxb1,15,0.01,50,+,carb,11,1.3905000000000003,0.015629642167551833
203,1x diff 2x bxb1,15,0.01,50,+,carb,12,1.3729375,0.0234770975025205
204,1x diff 2x bxb1,15,0.01,50,+,carb,13,1.3536875000000002,0.03748612838675884
205,1x diff 2x bxb1,15,0.01,50,+,carb,14,1.4016875,0.029505371786942708
206,1x diff 2x bxb1,15,0.01,50,+,carb,15,1.380125,0.03183186857761967
207,1x diff 2x bxb1,15,0.01,50,+,carb,16,1.4231875,0.022784608683432444
208,1x diff 2x bxb1,15,0.01,50,+,kan,1,1.2719375,0.16962278264684003
209,1x diff 2x bxb1,15,0.01,50,+,kan,2,1.32325,0.010340627226071597
210,1x diff 2x bxb1,15,0.01,50,+,kan,3,1.1031875,0.10204688610773832
211,1x diff 2x bxb1,15,0.01,50,+,kan,4,1.2935625,0.017352310467814627
212,1x diff 2x bxb1,15,0.01,50,+,kan,5,1.3068125,0.02102029206674892
213,1x diff 2x bxb1,15,0.01,50,+,kan,6,1.3185625,0.015582585288895834
214,1x diff 2x bxb1,15,0.01,50,+,kan,7,1.2798125,0.024007346345888102
215,1x diff 2x bxb1,15,0.01,50,+,kan,8,1.3147499999999999,0.007488085774844486
216,1x diff 2x bxb1,15,0.01,50,+,kan,9,1.3812499999999999,0.009430194665465415
217,1x diff 2x bxb1,15,0.01,50,+,kan,10,1.3758124999999999,0.011429715344536868
218,1x diff 2x bxb1,15,0.01,50,+,kan,11,1.3828749999999999,0.015505183465077496
219,1x diff 2x bxb1,15,0.01,50,+,kan,12,1.0816875000000001,0.01594395877530332
220,1x diff 2x bxb1,15,0.01,50,+,kan,13,1.2589375,0.04820746644897001
221,1x diff 2x bxb1,15,0.01,50,+,kan,14,1.3665000000000003,0.022200386097028645
222,1x diff 2x bxb1,15,0.01,50,+,kan,15,1.3672499999999999,0.023518989288293334
223,1x diff 2x bxb1,15,0.01,50,+,kan,16,1.4151875,0.017910367109582038
224,1x diff 2x bxb1,15,0.01,50,-,carb,1,1.3168125,0.006595114533826225
225,1x diff 2x bxb1,15,0.01,50,-,carb,2,1.3043125,0.023973106211514814
226,1x diff 2x bxb1,15,0.01,50,-,carb,3,1.346375,0.023718211809252588
227,1x diff 2x bxb1,15,0.01,50,-,carb,4,1.3526249999999997,0.02951482678248346
228,1x diff 2x bxb1,15,0.01,50,-,carb,5,1.3531875,0.02210031916382329
229,1x diff 2x bxb1,15,0.01,50,-,carb,6,1.3693125,0.02653964352758772
230,1x diff 2x bxb1,15,0.01,50,-,carb,7,1.3451249999999997,0.01815951147863988
231,1x diff 2x bxb1,15,0.01,50,-,carb,8,1.3709375000000001,0.02020155139021322
232,1x diff 2x bxb1,15,0.01,50,-,carb,9,1.435625,0.018573694916659528
233,1x diff 2x bxb1,15,0.01,50,-,carb,10,1.442,0.010603234008007877
234,1x diff 2x bxb1,15,0.01,50,-,carb,11,1.4458125000000002,0.01837299551749016
235,1x diff 2x bxb1,15,0.01,50,-,carb,12,1.4561875,0.015028395741775967
236,1x diff 2x bxb1,15,0.01,50,-,carb,13,1.4781250000000001,0.014201986782539694
237,1x diff 2x bxb1,15,0.01,50,-,carb,14,1.483375,0.0181181637354025
238,1x diff 2x bxb1,15,0.01,50,-,carb,15,1.3905,0.0730288592661441
239,1x diff 2x bxb1,15,0.01,50,-,carb,16,1.422625,0.05784940424437038
