Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,cole1,carb,sal,rep,ChanStr
sfGFP,61,1044,0.29,C10,112,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,C11,114,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,C12,102,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,D1,116,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,D2,109,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,D3,115,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,D4,118,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,D5,110,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,D6,107,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,D7,117,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,D8,117,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,D9,111,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,D10,109,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,D11,108,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,D12,120,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,E1,117,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,E2,112,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,E3,115,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,E4,113,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,E5,119,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,E6,120,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,E7,104,AFU,485,515,JS006,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,E8,107,AFU,485,515,JS006,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,E9,109,AFU,485,515,JS006,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,E10,117,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,E11,105,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,E12,112,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,F1,111,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,F2,114,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,F3,117,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,F4,118,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,F5,118,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,F6,110,AFU,485,515,diff T13m FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,F7,111,AFU,485,515,JS006,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,F8,109,AFU,485,515,JS006,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,F9,112,AFU,485,515,JS006,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,F10,108,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,F11,105,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,F12,116,AFU,485,515,JS006,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A1,116,AFU,485,515,diff split T7RNAP,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A2,116,AFU,485,515,diff split T7RNAP,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A3,115,AFU,485,515,diff split T7RNAP,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A4,114,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A5,111,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A6,120,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A7,111,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A8,120,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A9,110,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A10,113,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A11,115,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,A12,106,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B1,110,AFU,485,515,diff split T7RNAP,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B2,108,AFU,485,515,diff split T7RNAP,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B3,107,AFU,485,515,diff split T7RNAP,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B4,120,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B5,113,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B6,108,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B7,107,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B8,109,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B9,108,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B10,112,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B11,106,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,B12,107,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C1,107,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C2,126,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C3,114,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C4,112,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C5,107,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C6,119,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C7,105,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C8,114,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C9,115,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C10,107,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1644,0.45666666666666667,C11,125,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
