channel,mode,excitation,emission,num_flashes,gain,time_sec,time_h,well,measurement,strain,chlor,sal,iptg,rep
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A6,119.0,diff2X,-,0,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A7,120.0,diff1X,-,0,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A8,121.0,diff1X,-,0,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A9,121.0,diff1X,-,0,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A10,124.0,diff2X,-,0,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A11,121.0,diff2X,-,0,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A12,123.0,diff2X,-,0,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B1,121.0,diff1X,-,10,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B2,120.0,diff1X,-,10,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B3,125.0,diff1X,-,10,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B4,123.0,diff2X,-,10,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B5,118.0,diff2X,-,10,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B6,119.0,diff2X,-,10,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B7,124.0,diff1X,-,10,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B8,124.0,diff1X,-,10,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B9,121.0,diff1X,-,10,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B10,124.0,diff2X,-,10,50,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B11,126.0,diff2X,-,10,50,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,B12,126.0,diff2X,-,10,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,C1,125.0,diff1X,-,20,10,1
